filtered-0-temperature,filtered-0-rainfall,filtered-0-humidity,filtered-0-crime_overall,filtered-0-oil_price,filtered-0-exchange_taiwan,filtered-0-exchange_usa,unfiltered-month=1,unfiltered-month=2,unfiltered-month=6,unfiltered-month=8,unfiltered-month=9,unfiltered-day_of_week=Saturday,unfiltered-day_of_week=Monday,unfiltered-day_of_week=Tuesday,unfiltered-day_of_week=Wednesday,unfiltered-Holiday_China=Z,unfiltered-Holiday_China=C,unfiltered-Holiday_China=D,unfiltered-Holiday_China=E,unfiltered-Holiday_China=G,unfiltered-Holiday_China=B,unfiltered-Holiday_Taiwan=Z,unfiltered-Holiday_Taiwan=B,unfiltered-Holiday_Macau=C,unfiltered-Holiday_Macau=D,unfiltered-Holiday_Macau=H,unfiltered-Holiday_SouthKorea=R,unfiltered-max_signal=0,unfiltered-typhoon_present_binarized,unfiltered-typhoon_high_signal_binarized,y,predicted_y,difference,percentage_diff
-1.684931,-0.262314,-2.506155,0.223592,0.713703,-1.37296,-0.88003,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,150016,147471.85349960657,2544.146500393428,1.695916769140244
-1.827216,-0.262314,-2.060647,0.223592,0.584835,-1.326931,-0.948199,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,153223,149280.95191860912,3942.04808139088,2.572752185631974
-1.684931,-0.262314,-1.526039,0.223592,-0.160583,-1.357617,-0.936169,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,209579,186587.7171738474,22991.2828261526,10.970222601573917
-1.481667,-0.262314,-1.436937,0.223592,-0.160583,-1.357617,-1.036418,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,195383,159467.02556820138,35915.97443179862,18.38234361832842
-1.359709,-0.262314,-1.526039,0.223592,-0.160583,-0.912665,-1.156717,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,164838,142849.71602054642,21988.283979453583,13.339329511067582
-1.441015,-0.238686,-1.526039,0.223592,0.324321,-1.066097,-0.952209,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,158588,154935.4590765017,3652.540923498309,2.3031634950300837
-1.197098,-0.222933,-0.813227,0.223592,0.212473,-1.03541,-0.92414,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,158834,153182.93299154498,5651.067008455022,3.5578446733413642
-1.07514,-0.215057,0.345091,0.223592,0.112436,-1.050754,-0.799831,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,162887,153708.98946753712,9178.010532462882,5.634587494682131
-1.217424,-0.262314,-0.36772,0.223592,0.046439,-1.158156,-0.87602,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,174813,152524.99363717408,22288.006362825923,12.749627523597171
-1.339383,-0.260384,0.077787,0.223592,-0.160583,-1.158156,-0.89206,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,195466,180372.4867689938,15093.513231006189,7.721810049321206
-1.888195,-0.254438,-0.36772,0.223592,-0.160583,-1.158156,-0.85998,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,171390,156401.47381451633,14988.526185483672,8.745274628323514
-2.152438,-0.262314,-3.218966,0.223592,-0.059156,-1.357617,-0.952209,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,157633,152442.4746235986,5190.525376401405,3.2927910884151195
-1.908522,-0.262314,-3.218966,0.223592,-0.104312,-1.296244,-0.831911,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,106872,152808.1430170802,-45936.143017080205,-42.98239297204151
-1.766237,-0.262314,-1.971546,0.223592,-0.137658,-1.265558,-0.703592,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,138857,162732.99904607897,-23875.99904607897,-17.194667208767992
-1.644279,-0.262314,-0.902329,0.223592,-0.186287,-1.37296,-0.727652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,216023,179954.91755638813,36068.08244361187,16.69640845817893
-1.29873,-0.215057,-1.169633,0.223592,-0.184898,-1.357617,-0.88805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,215746,189796.05070376224,25949.949296237755,12.028009463089816
-1.01416,-0.195367,0.8797,0.223592,-0.375942,-1.357617,-0.683542,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,204279,183888.28672268032,20390.71327731968,9.981796110867823
-1.217424,-0.260384,0.8797,0.223592,-0.375942,-1.357617,-0.491065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,190254,183740.95156001922,6513.048439980776,3.4233437614876827
-1.766237,-0.258376,-0.189517,0.223592,-0.081039,-1.418989,-0.607353,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,177035,165112.28043002833,11922.719569971669,6.734668043026333
-1.989827,-0.262314,-1.347836,0.223592,-0.271736,-1.342274,-0.835921,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,152827,155214.90120590528,-2387.9012059052766,-1.5624864754953487
-1.786563,-0.262314,-0.99143,0.223592,-0.318976,-1.265558,-0.92414,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,132302,129728.92214440965,2573.0778555903526,1.9448518205245215
-1.441015,-0.262314,-1.704242,0.223592,-0.449928,-1.234872,-0.92013,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,134618,132153.93077104565,2464.0692289543513,1.8304158648578581
-1.827216,-0.262314,-1.169633,0.223592,-0.466948,-1.250215,-0.759732,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,145132,135650.31035827703,9481.689641722973,6.533148886340003
-2.132112,-0.262314,-2.951662,0.223592,-0.375942,-1.250215,-0.827901,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,143082,175500.73114553586,-32418.731145535858,-22.65744897718501
-2.03048,-0.262314,-2.684358,0.223592,-0.375942,-1.250215,-0.739682,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,146249,143751.5004608469,2497.4995391530974,1.7077036691895995
-1.745911,-0.262314,-1.169633,0.223592,-0.356837,-1.296244,-0.835921,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,125294,129877.92965941629,-4583.929659416288,-3.658538844171539
-1.400362,-0.260384,-0.456822,0.223592,-0.177951,-1.219528,-0.699582,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,107603,112578.60837448027,-4975.6083744802745,-4.6240424286314274
-1.156445,0.674945,1.50341,0.223592,-0.27382,-1.280901,-0.791811,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,92207,106015.71430934727,-13808.71430934727,-14.975776578076793
-1.29873,-0.260384,0.25599,0.223592,-0.436381,-1.020067,-0.87201,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,104489,113172.50705495891,-8683.507054958915,-8.310450913453966
-1.562973,-0.254438,0.968801,0.223592,-0.421445,-1.096783,-1.000329,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,115295,116265.03387260831,-970.0338726083137,-0.8413494710163613
-1.217424,-0.260384,0.612396,0.223592,-0.375942,-1.096783,-1.016368,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,156546,163642.9505040414,-7096.950504041393,-4.533460135705411
-0.709265,-0.262314,0.434193,0.223592,-0.375942,-1.096783,-1.044438,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,134268,125108.14058841235,9159.859411587648,6.822071835126499
