Open,Close,High,Low,Date
53.48,54.76,55.26,53.45,2/2/2021
51.99,53.55,53.74,51.64,2/1/2021
52.15,52.2,53.25,51.93,01/29/21
52.65,52.34,53.58,52.04,01/28/21
52.76,52.85,53.3,51.85,01/27/21
52.91,52.61,53.25,52.29,01/26/21
52.17,52.77,52.95,51.82,01/25/21
53.1,52.27,53.16,51.44,01/22/21
0,53.13,53.41,52.75,01/21/21
53.13,53.24,53.79,53.05,01/20/21
52,52.98,53.13,51.76,01/19/21
53.8,52.36,53.83,51.83,01/15/21
52.84,53.57,53.75,52.24,01/14/21
53.31,52.91,53.93,52.58,01/13/21
52.18,53.21,53.45,52.07,1/12/2021
52.58,52.25,52.7,51.5,1/11/2021
50.93,52.24,52.75,50.81,1/8/2021
50.53,50.83,51.28,50.39,1/7/2021
49.82,50.63,50.94,49.48,1/6/2021
47.38,49.93,50.2,47.24,1/5/2021
48.4,47.62,49.83,47.18,1/4/2021
48.35,48.52,48.58,47.77,12/31/20
48.13,48.4,48.66,47.61,12/30/20
47.72,48,48.35,47.68,12/29/20
48.23,47.62,48.96,47.5,12/28/20
48.09,48.23,48.62,47.56,12/24/20
46.79,48.12,48.5,46.16,12/23/20
0,47.02,0,46.6,12/22/20
48.54,47.74,48.61,46.18,12/21/20
48.43,49.1,49.28,48.1,12/18/20
47.85,48.36,48.59,47.81,12/17/20
47.6,47.82,47.94,47.17,12/16/20
46.99,47.62,47.73,46.54,12/15/20
46.73,46.99,47.44,45.69,12/14/20
46.97,46.57,47.29,46.34,12/11/2020
45.69,46.78,47.74,45.52,12/10/2020
45.6,45.52,46.24,44.95,12/9/2020
45.66,45.6,45.93,45.14,12/8/2020
46.15,45.76,46.54,45.36,12/7/2020
45.64,46.26,46.68,45.61,12/4/2020
44.99,45.64,45.84,44.66,12/3/2020
44.38,45.28,45.92,43.92,12/2/2020
45.08,44.55,45.7,44.12,12/1/2020
45.34,45.34,45.8,44.42,11/30/20
45.9,45.53,46.09,44.55,11/27/20
44.82,45.71,46.26,44.73,11/25/20
42.84,44.91,45.2,42.82,11/24/20
42.46,43.06,43.36,42.29,11/23/20
41.7,42.42,42.32,41.51,11/20/20
41.61,41.74,41.98,41.08,11/19/20
41.35,41.82,42.46,41.08,11/18/20
41.44,41.43,41.69,40.57,11/17/20
40.17,41.34,42.09,40.15,11/16/20
